"","x"
"1","Mt1"
"2","Saa3"
"3","Ifit1bl1"
"4","Gadd45g"
"5","Hp"
"6","Edn1"
"7","Tgtp2"
"8","Mt2"
"9","Vcan"
"10","Iigp1"
"11","Glipr2"
"12","Rgs14"
"13","Lipg"
"14","BC023105"
"15","S100a8"
"16","Gbp4"
"17","Serpina3g"
"18","Gm4951"
"19","Insl6"
"20","Nos2"
"21","Selenow"
"22","AW112010"
"23","Il2ra"
"24","Ifi208"
"25","Ccl12"
"26","Timp1"
"27","Calhm6"
"28","Ifi205"
"29","Aldh1b1"
"30","Gpr141"
"31","Isg20"
"32","Serpina3f"
"33","Kmo"
"34","Ifit1"
"35","Slfn4"
"36","Trim30c"
"37","Socs1"
"38","Ms4a4c"
"39","Ms4a4a"
"40","Tnfsf10"
"41","Rsad2"
"42","Polr2g"
"43","Ddx4"
"44","Ifit2"
"45","Pfkfb3"
"46","Plekhf2"
"47","Arid5a"
"48","Slfn1"
"49","Cmpk2"
"50","Il19"
"51","Clec2d"
"52","Tle3"
"53","Ccl8"
"54","Lcn2"
"55","Arl4a"
"56","Svbp"
"57","Pnp2"
"58","Cfb"
"59","I830077J02Rik"
"60","F830016B08Rik"
"61","Fam3b"
"62","F630111L10Rik"
"63","Bst1"
"64","Bmerb1"
"65","Lrp4"
"66","Ifi214"
"67","Il1rn"
"68","Hmgn3"
"69","Upp1"
"70","Gm12185"
"71","BC147527"
"72","Usp18"
"73","Plcl2"
"74","Plaat3"
"75","Mrpl52"
"76","Tgtp1"
"77","Il15ra"
"78","Cd38"
"79","Cp"
"80","Gbp6"
"81","Batf2"
"82","Ifi213"
"83","Ifit3b"
"84","Trim30b"
"85","Ccdc173"
"86","1600014C10Rik"
"87","Klrk1"
"88","Phf11a"
"89","Gbp7"
"90","Ifi209"
"91","Cd69"
"92","Tma16"
"93","G530011O06Rik"
"94","Ifit3"
"95","Tmem67"
"96","Apol9b"
"97","Oasl1"
"98","Gbp2"
"99","Rubcnl"
"100","Clic5"
"101","Gfi1b"
"102","Mxd1"
"103","Scimp"
"104","P2ry14"
"105","Draxin"
"106","Fcgr4"
"107","Fbn1"
"108","Rnd3"
"109","Akap7"
"110","Ccl5"
"111","Slamf1"
"112","Wfdc17"
"113","Ccl7"
"114","Cxcl11"
"115","Armcx6"
"116","Gbp5"
