"","x"
"313","Ezr"
"314","Tlr2"
"315","Col27a1"
"316","Cmklr1"
"317","Impact"
"318","Slc26a2"
"319","Kdm5c"
"320","C9orf72"
"321","Plppr2"
"322","Pak4"
"323","Hipk1"
"324","Rel"
"325","Itgav"
"326","8030462N17Rik"
"327","Zbed6"
"328","Stap1"
"329","Clec4e"
"330","Csf2rb2"
"331","C920009B18Rik"
"332","Lima1"
"333","Phf8"
"334","Gm16712"
"335","Spi1"
"336","Socs4"
"337","Col10a1"
"338","Ctnnd1"
"339","Hook3"
"340","Slc4a7"
"341","Skil"
"342","Rbpj"
"343","Col18a1"
"344","Atp2b4"
"345","Mir3064"
"346","Rilpl2"
"347","Slc49a4"
"348","Cd83"
"349","Hmox1"
"350","Agrn"
"351","Tbc1d1"
"352","Fchsd2"
"353","Atxn2l"
"354","Gm20235"
"355","Gtf2b"
"356","Stx6"
"357","Rnf170"
"358","Gys1"
"359","Slc11a1"
"360","Pwp1"
"361","4632427E13Rik"
"362","Nfkbie"
"363","Papss2"
"364","Heca"
"365","Kcnrg"
"366","Gripap1"
"367","Kif1b"
"368","Pik3r5"
"369","Yod1"
"370","Tns3"
"371","Fyb"
"372","Rnf180"
"373","Dock10"
"374","Gm10634"
"375","Mob1a"
"376","Txnrd1"
"377","Zfp758"
"378","Nck1"
"379","Clcn6"
"380","Cdyl2"
"381","Myo1e"
"382","Adora2b"
"383","Gm20056"
"384","Zeb2"
"385","Bcl10"
"386","Pstpip2"
"387","Zmynd15"
"388","Plcb3"
"389","Nod2"
"390","Nlrc4"
"391","Aff4"
"392","Mapk6"
"393","AI597479"
"394","Ccr3"
"395","Dcbld2"
"396","Slc13a3"
"397","Rc3h1"
"398","Sdc1"
"399","Ppp1r10"
"400","Ralgds"
"401","Adgb"
"402","Pcgf3"
"403","Kdm5b"
"404","Sptan1"
"405","Mdm4"
"406","Fcrl5"
"407","Pgf"
"408","Adam17"
"409","Ahr"
"410","Ikbke"
"411","Litaf"
"412","Prrc2c"
"413","D030029J20Rik"
"414","Zc3h12a"
"415","Txlnb"
"416","Tmtc3"
"417","Ptpn23"
"418","Dnmt3l"
"419","Supt20"
"420","Camta2"
"421","Vmp1"
"422","Arhgap31"
"423","Serpinb12"
"424","Lancl2"
"425","Plcd1"
"426","Tslp"
"427","Rlf"
"428","Myof"
"429","P2ry2"
"430","Ago3"
"431","D130040H23Rik"
"432","Lpar1"
"433","Nup98"
"434","F730043M19Rik"
"435","Mitf"
"436","Rsl1"
"437","Zbtb7a"
"438","Uty"
"439","Fscn1"
"440","Ldlr"
"441","Hsd17b7"
"442","Prdm9"
"443","Sde2"
"444","Tnfsf15"
"445","Vps37c"
"446","Hif1a"
"447","Il10ra"
"448","Bmp1"
"449","Lztfl1"
"450","Sec23ip"
"451","Fam114a1"
"452","Nrp2"
"453","Zfp719"
"454","Kif3b"
"455","Has1"
"456","Myo1d"
"457","Abi1"
"458","Golgb1"
"459","C130046K22Rik"
"460","Rassf4"
"461","Clec9a"
"462","Nadk"
"463","Fyco1"
"464","Ptgs2"
"465","P2ry6"
"466","Acvr2a"
"467","Hrc"
"468","Mcemp1"
"469","Rapgef5"
"470","Ccr5"
"471","Kdm4a"
"472","F830208F22Rik"
"473","Ncoa4"
"474","Spryd7"
"475","Ngly1"
"476","Ccr9"
"477","Degs2"
"478","Myo10"
"479","Dnajb2"
"480","Tmem26"
"481","C3ar1"
"482","Mvd"
"483","Mir22hg"
"484","Fnip2"
"485","Slc12a6"
"486","Med1"
"487","Appl1"
"488","Vps37a"
"489","Apobr"
"490","Zfp143"
"491","Gm16023"
"492","Lilrb4b"
"493","Ppfia3"
"494","Hcar2"
"495","Il20rb"
"496","Ccdc50"
"497","Slc38a7"
"498","Fpgt"
"499","Brwd3"
"500","Afap1"
"501","Slc7a2"
"502","Vhl"
"503","Tab2"
"504","Tnfaip3"
"505","Lrrc8d"
"506","4833438C02Rik"
"507","Rps6ka4"
"508","Rhog"
"509","Ireb2"
"510","Vps9d1"
"511","Itch"
"512","Gja1"
"513","Nfe2l1"
"514","Uchl4"
"515","Mapkbp1"
"516","St3gal1"
"517","Slc25a10"
"518","Olr1"
"519","Rdh5"
"520","Raver1"
"521","Csf2rb"
"522","Frs2"
"523","Plagl2"
"524","Tsc22d2"
"525","Kmt5b"
"526","Hectd1"
"527","Cdk12"
"528","Itgax"
"529","Slc25a25"
"530","Ddx5"
"531","Naa15"
"532","Shoc2"
"533","Zhx1"
"534","Ccdc88b"
"535","Kmt2e"
"536","Psd3"
"537","Gm14326"
"538","Tmem123"
"539","Itsn2"
"540","Dsel"
"541","H2-Ab1"
"542","Sla"
"543","Rsbn1"
"544","Siglece"
"545","Rnf24"
"546","Atf2"
"547","Tnip1"
"548","Suco"
"549","Gpr85"
"550","Lrig2"
"551","Parg"
"552","Acss2"
"553","Rras"
"554","Arl5b"
"555","Ell2"
"556","Rnf19a"
"557","Slc2a1"
"558","Pcm1"
"559","Abr"
"560","Polm"
"561","Btaf1"
"562","Igf2bp2"
"563","Idi1"
"564","Hvcn1"
"565","Rin3"
"566","Akap13"
"567","Nxpe3"
"568","Dnaja2"
"569","Rab6a"
"570","Scyl2"
"571","Gna13"
"572","Adgre1"
"573","Bgn"
"574","Tmem39a"
"575","Gabpa"
"576","Ddx10"
"577","Rasgrp1"
"578","Xcr1"
"579","Lrrc41"
"580","Maml2"
"581","Kpna3"
"582","Dipk1a"
"583","Cd14"
"584","Ptpn6"
"585","Daam1"
"586","Col4a2"
"587","Bmt2"
"588","Il2rg"
"589","Acsl4"
"590","Dennd2a"
"591","Gm10099"
"592","Dmtf1"
"593","Slc7a3"
"594","Tnfaip2"
"595","Gtf2a1"
"596","Mefv"
"597","Kdm4b"
"598","Mmp9"
"599","Galnt7"
"600","Atg3"
"601","Dse"
"602","Tlr9"
"603","Slc11a2"
"604","Mtdh"
"605","Sc5d"
"606","Ak4"
"607","Btg2"
"608","Kat2a"
"609","Usp3"
"610","Mllt6"
"611","Slc25a37"
"612","Col4a5"
"613","Ammecr1l"
"614","Apba3"
"615","Tmem127"
"616","Tmtc2"
"617","Abcc5"
"618","Srgap2"
"619","4933430I17Rik"
"620","Itgam"
"621","Zfp292"
"622","Itga5"
"623","Chd6"
"624","A630072M18Rik"
"625","Mocs1"
"626","Slc39a14"
"627","Dnah17"
"628","Gm16794"
"629","Pik3cg"
"630","Arrdc4"
