"","x"
"1","Clec2d"
"2","Il1a"
"3","Marf1"
"4","Mt2"
"5","Il1b"
"6","Saa3"
"7","Wtap"
"8","Adamts4"
"9","Cd52"
"10","Csf3"
"11","Aif1"
"12","Lsm10"
"13","Sfxn5"
"14","Slc39a1"
"15","Ptgs2"
"16","Edn1"
"17","Wfdc17"
"18","Il2ra"
"19","Gpc1"
"20","Ifitm2"
"21","Ms4a6c"
"22","Il19"
"23","Nupr1"
"24","Ccl12"
"25","Ppm1h"
"26","Il27"
"27","Ccl4"
"28","Mir155"
"29","Med29"
"30","Tma16"
"31","Lst1"
"32","Cd69"
"33","H2-Q4"
"34","Ccl8"
"35","Gm20325"
"36","Bcl2a1c"
"37","Hp"
"38","Mthfsl"
"39","Has1"
"40","Ccl3"
"41","Jak2"
"42","Ccl5"
"43","Zfp811"
"44","Pttg1"
"45","2310001H17Rik"
"46","Ifitm1"
"47","Ccl7"
"48","Gas7"
"49","Twf1"
"50","Inpp4a"
"51","Ifitm6"
"52","Fndc7"
"53","Anp32a"
"54","Mapkapk2"
"55","Gstm2"
"56","Kcna3"
"57","Gm6377"
"58","Ovol1"
"59","Gm15987"
"60","Tnfaip2"
"61","Ifitm3"
"62","Cop1"
"63","Fpr1"
"64","Tlk2"
"65","Bst2"
"66","Dpysl2"
"67","Cd244a"
"68","Ccl2"
"69","Stk40"
"70","Cbr2"
"71","Ahr"
"72","Ifi35"
"73","Psme2"
"74","Psma6"
"75","Prelid2"
"76","Rhoq"
"77","Lyrm1"
"78","Il6"
"79","Wfdc18"
"80","Spic"
"81","AI504432"
"82","Cxcl11"
"83","Psmd10"
"84","Ms4a4a"
"85","Gstt4"
"86","Tent4a"
"87","Prdx1"
"88","Zfp935"
"89","Clec4b1"
"90","Tnip3"
"91","Zfp558"
"92","Mier3"
"93","Nufip2"
"94","Npy"
"95","Pdpn"
"96","Pitpnc1"
"97","Ifi27l2a"
"98","H2bc4"
"99","Ppp4r2"
"100","Tmem230"
"101","Alg11"
"102","Pnp2"
"103","Rab12"
"104","Arhgdib"
"105","Clec1a"
"106","Adora2a"
"107","Tstd1"
"108","Gm10388"
"109","Ifi205"
"110","Selenot"
"111","Rnd3"
"112","Marcks"
"113","F830016B08Rik"
"114","Tmem170b"
"115","N4bp1"
"116","Ctsc"
"117","Cd38"
"118","Anxa1"
"119","Bcl2a1a"
"120","Il12b"
"121","Fpr2"
"122","Ifitm5"
"123","Il1bos"
"124","Mefv"
"125","Ppp3r1"
"126","Pfkfb3"
"127","Pecam1"
"128","Cd86"
"129","Rtn1"
"130","Sult6b1"
"131","Eif1a"
"132","Psmb10"
"133","Sos1"
"134","Znrf1"
"135","Ccdc173"
"136","Socs3"
"137","Slfn2"
"138","Milr1"
"139","Denr"
"140","Calhm6"
"141","Traf2"
"142","Gstt1"
"143","Eif2ak2"
"144","Ms4a6d"
"145","Gm20367"
"146","Zfp821"
"147","Tent5a"
"148","Prss46"
"149","Sdc4"
"150","Gm10099"
"151","Il4i1"
"152","Btg2"
"153","Clec12a"
"154","Gm5150"
"155","Zc3h12d"
"156","Gm21370"
"157","Ifit1"
"158","Gbp7"
"159","Hspa1a"
"160","St3gal3"
"161","Etfrf1"
"162","Kctd12"
"163","Ms4a7"
"164","Fabp3"
"165","Acat2"
"166","Pld4"
"167","Itga9"
"168","Clec1b"
"169","Kmo"
"170","Slamf6"
"171","Lix1"
"172","Slfn1"
"173","Upp1"
"174","Nmi"
"175","Cxcl10"
"176","Usp25"
"177","Bmt2"
"178","Phxr4"
"179","Pnp"
"180","Ikzf1"
"181","Gpr18"
"182","Slc31a1"
"183","Gfi1b"
"184","Ppm1k"
"185","Ddx24"
"186","Nck1"
"187","Ift22"
"188","4833419F23Rik"
"189","Ednrb"
"190","Batf"
"191","Pde4b"
"192","Tlcd2"
"193","Mmp14"
"194","Sacm1l"
"195","Cp"
"196","AW011738"
"197","Chordc1"
"198","Heatr9"
"199","Clec4n"
"200","Isg15"
"201","Tarm1"
"202","Batf2"
"203","Ms4a4d"
"204","AW112010"
"205","Clec4a2"
"206","Etnk1"
"207","Slco3a1"
"208","Ighm"
"209","Dgkh"
"210","Hspa1b"
"211","Rmc1"
"212","Stxbp3"
"213","BC023105"
"214","Fcgr2b"
