"","x"
"1","Cxcl1"
"2","Cxcl3"
"3","Treml1"
"4","Nav2"
"5","1700006J14Rik"
"6","Mir763"
"7","Lhfpl2"
"8","Rapgef3"
"9","Hyal1"
"10","Angpt2"
"11","Mical2"
"12","Necab3"
"13","Tmem86a"
"14","Efr3b"
"15","Arrdc3"
"16","Wee1"
"17","Cxcl2"
"18","9230105E05Rik"
"19","AU022793"
"20","Slc7a11"
"21","Pkd1l2"
"22","Egr2"
"23","Mmp9"
"24","Ptger2"
"25","Marco"
"26","Eid3"
"27","Igf1it"
"28","Lancl3"
"29","Cx3cl1"
"30","Card11"
"31","Lif"
"32","Ampd3"
"33","Snx29"
"34","Inpp5j"
"35","Zfp469"
"36","Rptoros"
"37","Cd300lf"
"38","Fos"
"39","Dnmt3aos"
"40","Mbd4"
"41","Adamts4"
"42","Stxbp6"
"43","Tfec"
"44","Vegfa"
"45","Treml4"
"46","Mast1"
"47","Cacna1a"
"48","Rassf8"
"49","Stra6l"
"50","Mtmr10"
"51","Tvp23a"
"52","H2bc21"
"53","F3"
"54","Plekhm1"
"55","Mical3"
"56","Gm17388"
"57","Il12b"
"58","Cish"
"59","Mtss1"
"60","Rnf24"
"61","Lix1"
"62","Hip1"
"63","Insyn2b"
"64","H3c14"
"65","Phlda1"
"66","Has1"
"67","Klf11"
"68","Rgs16"
"69","Gja1"
"70","Clec5a"
"71","Ftx"
"72","Tspoap1"
"73","Sik2"
"74","Vwf"
"75","Htr2b"
"76","Txnrd1"
"77","Carf"
"78","Il1b"
"79","Slc29a3"
"80","Armc9"
"81","Gm17494"
"82","Asap1"
"83","Rhbdf1"
"84","Ptgir"
"85","1700025N23Rik"
"86","Timeless"
"87","Klf7"
"88","Atp2b4"
"89","Sh2b3"
"90","Sdc1"
"91","Gpr146"
"92","Ddi2"
"93","Mnt"
"94","Lrp12"
"95","Gm13889"
"96","Serpinb1c"
"97","Kcnj2"
"98","Natd1"
"99","Map6"
"100","Tm4sf19"
"101","Myef2"
"102","Mfsd12"
"103","Dusp2"
"104","Kctd12"
"105","4931406H21Rik"
"106","Pilra"
"107","Cfap45"
"108","Slc9b2"
"109","Sumo2"
"110","Loxl3"
"111","Gm10914"
"112","Sqstm1"
"113","Smim38"
"114","Dnmt3l"
"115","Olr1"
"116","Errfi1"
"117","Rev1"
"118","Ptchd1"
"119","Eya4"
"120","Hmgcs1"
"121","Sla"
"122","Napb"
"123","Flrt2"
"124","Cd55"
"125","Pvr"
"126","Carmil1"
"127","Dnmt3a"
"128","Abcg1"
"129","Dpy19l3"
"130","Fgd6"
"131","Kitl"
"132","Gprc5b"
"133","Gm16907"
"134","Fblim1"
"135","Fgd3"
"136","Hmgcr"
"137","Slc16a10"
"138","Pla2g4c"
"139","Akap12"
"140","Tbc1d9"
"141","Arhgap35"
"142","Slc39a4"
"143","Tshz1"
"144","Pid1"
"145","4930404N11Rik"
"146","Fcgr2b"
"147","Abcc1"
"148","Mocos"
"149","Sh3bgrl2"
"150","Fgr"
"151","Trps1"
"152","Il1a"
"153","Heca"
"154","Dpep3"
"155","Tslp"
"156","Ralgapa2"
"157","Ahr"
"158","Tifab"
"159","Dach1"
"160","Prdm10"
"161","0610038B21Rik"
"162","Plekhm2"
"163","Pou3f1"
"164","Srebf2"
"165","Smim6"
"166","Nfatc2"
"167","Heatr5a"
"168","Slc23a2"
"169","E030024N20Rik"
"170","Map3k12"
"171","Rgs2"
"172","Piezo1"
"173","Fgd4"
"174","Ldlrad4"
"175","Col18a1"
"176","Usp37"
"177","Itgax"
"178","Cd14"
"179","Il1bos"
"180","Herpud1"
"181","Siglece"
"182","Casp8ap2"
"183","AV051173"
"184","Epb41l1"
"185","S1pr2"
"186","Tnrc18"
"187","Clip1"
"188","Spn"
"189","Hvcn1"
"190","Nckap5l"
"191","Gm20605"
"192","Agpat4"
"193","Tlr2"
"194","Dot1l"
"195","Zfand2a"
"196","Tmem181b-ps"
"197","4930455G09Rik"
"198","Gm10419"
"199","Kbtbd7"
"200","Dipk1a"
"201","Ptpn22"
"202","C920021L13Rik"
"203","Tmod1"
"204","Cd80"
"205","6230400D17Rik"
"206","Atxn2l"
"207","Adgrg6"
"208","A930019D19Rik"
"209","Snx16"
"210","Mapk8"
"211","Capn15"
"212","Per1"
"213","Sdad1"
"214","Zfp33b"
"215","Vsig10l"
"216","Pot1b"
"217","Tent5c"
"218","Plod2"
"219","Slc7a3"
"220","Spaca6"
"221","Ednrb"
"222","Bag3"
"223","Arhgap31"
"224","Rps6kc1"
"225","Fem1c"
"226","Gm9752"
"227","Hipk2"
"228","Col27a1"
"229","Fhad1"
"230","Spred3"
"231","Lyst"
"232","Msantd3"
"233","Sh3bp1"
"234","Ube4b"
"235","Naa15"
"236","Cblb"
"237","Psd3"
"238","Nox1"
"239","Zbtb2"
"240","Pip5k1c"
"241","Gripap1"
"242","Lims2"
"243","Serpinh1"
"244","Ttc37"
"245","Sdc3"
"246","Plcb3"
"247","Irak3"
"248","Lrrc8d"
"249","Efhd2"
"250","Col19a1"
"251","Gm4673"
"252","Mcm9"
"253","Plppr2"
"254","Tmem104"
"255","Gadd45g"
"256","Lcp2"
"257","Gm20022"
"258","Smarcd3"
"259","Gm20056"
"260","Pbx1"
"261","Zfp592"
"262","Sele"
"263","Pstpip1"
"264","Slc25a25"
"265","Xpo4"
"266","Myadm"
"267","Prkcg"
"268","Il12rb1"
"269","Mrtfa"
"270","Trip11"
"271","Ppp2r3a"
"272","Manea"
"273","Acrbp"
"274","Myof"
"275","Bicra"
"276","Cgas"
"277","Septin11"
"278","Plk2"
"279","Gm19316"
"280","Abcd1"
"281","Heg1"
"282","Vcl"
"283","Ctnnd1"
"284","Nol4l"
"285","2510009E07Rik"
"286","Sestd1"
"287","Fnip2"
"288","Nadk"
"289","Lrrfip2"
"290","Ankrd23"
"291","Calcrl"
"292","Prdm9"
"293","D030029J20Rik"
"294","4933439K11Rik"
"295","H3c15"
"296","Nfkbid"
"297","Myo1e"
"298","Mtmr11"
"299","Fn1"
"300","Sp3"
"301","9130004J05Rik"
"302","Madd"
"303","Gm19955"
"304","Lck"
"305","Ppp4r1l-ps"
"306","Sptan1"
"307","Nr1d1"
"308","Ets2"
"309","Arhgap26"
"310","Zfp619"
"311","Prdm1"
"312","Phldb1"
"313","Tecpr2"
"314","Flt1"
"315","Gm16144"
"316","Ctnnd2"
"317","Jup"
"318","Sp4"
"319","Rsad1"
"320","Tnf"
"321","Lpin2"
"322","Mink1"
"323","Setd1b"
"324","Gm19967"
"325","Dhrs9"
"326","C130046K22Rik"
"327","Nisch"
"328","Armc7"
"329","Leng8"
"330","9930022D16Rik"
"331","B130006D01Rik"
"332","Zc3h12c"
"333","Srcap"
"334","Gm10521"
"335","Sptbn2"
"336","Sectm1a"
"337","Chst7"
"338","Cic"
"339","Csf3"
"340","C920009B18Rik"
"341","Pcyt1a"
"342","Bgn"
"343","Supt20"
"344","Adam33"
"345","Hdac7"
"346","Il12rb2"
"347","St7"
"348","Irgq"
"349","Il7r"
"350","Bcorl1"
"351","Marcksl1"
"352","Fscn1"
"353","Elf4"
"354","Tgm2"
"355","Tbc1d23"
"356","Trim39"
"357","Polr2a"
"358","Ripor2"
"359","Dcun1d3"
"360","Ddit3"
"361","Zmym6"
"362","Mycl"
"363","Gnptab"
"364","Mamld1"
"365","Itch"
"366","Ccnd1"
"367","Plekho2"
"368","Fxyd4"
"369","Ncoa2"
"370","Zhx2"
"371","Prokr1"
"372","Col10a1"
"373","Ero1a"
"374","Cav1"
"375","Sfi1"
"376","Togaram1"
"377","Ngly1"
"378","Itprid2"
"379","Myh10"
"380","Fchsd2"
"381","A630072M18Rik"
"382","Degs2"
"383","Dop1b"
"384","Cramp1"
"385","Hk2"
"386","Ldlr"
"387","Rnf19a"
"388","Hmga2"
"389","Itgb8"
"390","Letm2"
"391","H2bc4"
"392","Tmem38b"
"393","Plec"
"394","Gpr137b-ps"
"395","Micall2"
"396","Bbs10"
"397","Dubr"
"398","Slc39a14"
"399","Pilrb2"
"400","Cdc42ep2"
"401","Epha1"
"402","Col11a2"
"403","Stk38l"
"404","Txlnb"
"405","Atf3"
"406","Atg13"
"407","Stap1"
"408","Srp54c"
"409","Parg"
"410","Atg2a"
"411","Nnat"
"412","Btaf1"
"413","Hap1"
"414","Rrbp1"
"415","Cds2"
"416","Abhd18"
"417","Itgal"
"418","Adgrl2"
"419","Gk5"
"420","Gpnmb"
"421","Ahsa1"
"422","Mcemp1"
"423","Sgms1"
"424","Slc5a3"
"425","Spty2d1"
"426","Hpse"
"427","Itgae"
"428","Rrs1"
"429","Cdkn1a"
"430","Dock8"
"431","Zmiz1"
"432","Spi1"
"433","Aff4"
"434","Lasp1"
"435","Dnajb7"
"436","Lrch3"
"437","Zfp287"
"438","Ms4a14"
"439","Rrad"
"440","Zhx1"
"441","Socs4"
"442","Phf8"
"443","Trim14"
"444","Papss2"
"445","Cttn"
"446","Susd6"
"447","Asph"
"448","Ssh1"
"449","Mapkapk3"
"450","Csf2rb"
