"","x"
"1","Eid3"
"2","Nav2"
"3","Mical3"
"4","Carf"
"5","1700006J14Rik"
"6","Marco"
"7","1700025N23Rik"
"8","Errfi1"
"9","Mical2"
"10","9230105E05Rik"
"11","Tvp23a"
"12","Ddi2"
"13","Treml4"
"14","Sh2b3"
"15","Trerf1"
"16","Mir763"
"17","Wee1"
"18","P2ry2"
"19","Klf7"
"20","Bgn"
"21","Gm10914"
"22","Abcc1"
"23","Kcnq1ot1"
"24","Fbrsl1"
"25","Arrdc3"
"26","Atp2b4"
"27","A830082N09Rik"
"28","Rptoros"
"29","Olr1"
"30","Ampd3"
"31","Sik2"
"32","Col10a1"
"33","Atxn2l"
"34","Celsr3"
"35","Gm20022"
"36","Carmil1"
"37","6330407A03Rik"
"38","Rassf8"
"39","Ftx"
"40","Necab3"
"41","Tnrc18"
"42","Snx29"
"43","Dnajb7"
"44","Bsn"
"45","Ankrd23"
"46","6230400D17Rik"
"47","Klf11"
"48","Fgd4"
"49","Pkd1l2"
"50","B130006D01Rik"
"51","Piezo1"
"52","Pou3f1"
"53","Vasn"
"54","Gm16144"
"55","Itgax"
"56","Rapgef3"
"57","0610038B21Rik"
"58","Prdm10"
"59","Plekhg2"
"60","4930579G18Rik"
"61","Card11"
"62","Nfatc2"
"63","Efr3b"
"64","Niban2"
"65","Trip11"
"66","Rev1"
"67","Treml1"
"68","Plcxd1"
"69","Tctn1"
"70","Fgd6"
"71","Gm19816"
"72","Vegfa"
"73","B230216N24Rik"
"74","Leng8"
"75","Hivep2"
"76","Insyn2b"
"77","Tjp2"
"78","Trim14"
"79","Acrbp"
"80","Adam4"
"81","Zfr2"
"82","Fgr"
"83","Mlxip"
"84","Cxcl1"
"85","Plekhm1"
"86","Ednrb"
"87","Ralgapa2"
"88","Zfp592"
"89","Capn15"
"90","Socs4"
"91","4632427E13Rik"
"92","Firre"
"93","Pip5k1c"
"94","Bicra"
"95","Tmc3"
"96","Timeless"
"97","Cd300lf"
"98","Dot1l"
"99","Col19a1"
"100","Zbtb37"
"101","Mast1"
"102","Angpt2"
"103","Spag1"
"104","Micall1"
"105","Zfp469"
"106","4931406H21Rik"
"107","Srcap"
"108","Gm16907"
"109","Gm17388"
"110","Gm20199"
"111","Sfi1"
"112","Prkcg"
"113","Itgae"
"114","Tnc"
"115","Mapkbp1"
"116","Hyal1"
"117","Heatr5a"
"118","Zmiz1"
"119","Slc7a11"
"120","Tecpr2"
"121","Mtmr10"
"122","Smarcd3"
"123","Tspoap1"
"124","Pstpip1"
"125","Gm9752"
"126","Loxl3"
"127","Mnt"
"128","Epha1"
"129","Nr1d1"
"130","1700109H08Rik"
"131","Slc23a2"
"132","Gm19967"
"133","Clcn6"
"134","Nfkbid"
"135","Dpy19l3"
"136","Tbrg3"
"137","Uchl4"
"138","Cacna1a"
"139","Mmp9"
"140","Bmp1"
"141","Gm19955"
"142","Tbc1d9"
"143","Serpinh1"
"144","Gm10791"
"145","D830031N03Rik"
"146","AV051173"
"147","Mrtfa"
"148","Gm4583"
"149","Mbd4"
"150","H2bc21"
"151","Sdc3"
"152","Atr"
"153","Tenm4"
"154","Gripap1"
"155","Parp12"
"156","D930048N14Rik"
"157","Dock4"
"158","Zkscan8"
"159","Cdk6"
"160","Cep170"
"161","Marcksl1"
"162","Lpin2"
"163","Ltbp2"
"164","Spi1"
"165","Spred3"
"166","Fem1c"
"167","Per1"
"168","Cramp1"
"169","Polr2a"
"170","Atp10a"
"171","Fnip2"
"172","Map6"
"173","Arid3b"
"174","Phtf1os"
"175","Tet3"
"176","Gpr146"
"177","Pou2f2"
"178","Jup"
"179","Degs2"
"180","Tram2"
"181","Igf1it"
"182","Zyx"
"183","Rprd2"
"184","Tpst1"
"185","Mertk"
"186","Cblb"
"187","Trps1"
"188","4930599N23Rik"
"189","E030024N20Rik"
"190","Thbs1"
"191","Lhfpl2"
"192","Coro2a"
"193","Gm16023"
"194","Mfsd12"
"195","Wdr81"
"196","Plin4"
"197","Ldlrad4"
"198","C130046K22Rik"
"199","Tm4sf19"
"200","Ccdc171"
"201","Slc4a7"
"202","Mcm9"
"203","Tbl1x"
"204","Nsmaf"
"205","Ccnl2"
"206","Prokr1"
"207","Crybg3"
"208","H3c14"
"209","Elf4"
"210","Tmem181b-ps"
"211","Abca3"
"212","Fyco1"
"213","Tns3"
"214","Taok3"
"215","Mbd5"
"216","Zfp287"
"217","Myh10"
"218","Nisch"
"219","Sec16a"
"220","Natd1"
"221","Usp37"
"222","Dyrk1b"
"223","Cxcl2"
"224","Sumo2"
"225","Zmym6"
"226","Airn"
"227","Zbtb7a"
"228","Casp8ap2"
"229","Ppfibp1"
"230","Trim39"
"231","Hip1"
"232","Armc9"
"233","Kmt2d"
"234","Plec"
"235","Igf2bp2"
"236","Itprid2"
"237","Frmd4a"
"238","Lcor"
"239","Slc29a3"
