"","x"
"321","Ifi35"
"322","Ctsc"
"323","Trex1"
"324","Rab22a"
"325","Gm11110"
"326","Tasl"
"327","Tarm1"
"328","Xaf1"
"329","Ms4a7"
"330","Gm12185"
"331","Zup1"
"332","Stk4"
"333","Adora2b"
"334","Amz2"
"335","D730005E14Rik"
"336","Cxcl9"
"337","Fabp3"
"338","Nfkbia"
"339","Fgl2"
"340","Pdgfb"
"341","Ube2f"
"342","Isg15"
"343","Isg20"
"344","Il6"
"345","Cd300e"
"346","Asah2"
"347","H2-D1"
"348","H2-K1"
"349","Tnfaip3"
"350","Ptpro"
"351","Ppp2r5a"
"352","Pgam2"
"353","Gm12250"
"354","Fam241a"
"355","Nab1"
"356","Cxcl16"
"357","Tent4a"
"358","Pde4b"
"359","Pnp"
"360","Igtp"
"361","Serpinb9b"
"362","Npy"
"363","Il2ra"
"364","Ensa"
"365","Slc2a6"
"366","Trim30b"
"367","Gm17749"
"368","Anxa4"
"369","Alas1"
"370","N4bp1"
"371","Tnfrsf14"
"372","Gm8995"
"373","Dpysl2"
"374","Acot9"
"375","B2m"
"376","Ahsa2"
"377","Sh3bp4"
"378","Ifitm3"
"379","Nectin2"
"380","Gbp11"
"381","Sp140"
"382","Pttg1"
"383","Slamf7"
"384","Rarg"
"385","Prelid2"
"386","Rbm43"
"387","Olfr56"
"388","Phf11b"
"389","Mdfic"
"390","Psmb10"
"391","Cept1"
"392","Upp1"
"393","Prpf38a"
"394","Tnf"
"395","Gvin1"
"396","Zfp677"
"397","Ifi47"
"398","Tnfsf10"
"399","Lacc1"
"400","Zfp654"
"401","Pnp2"
"402","Glipr2"
"403","Rnasel"
"404","Herc6"
"405","Fnbp1l"
"406","Tmem33"
"407","Zbtb18"
"408","A530064D06Rik"
"409","Treml2"
"410","Rnf14"
"411","Pik3ip1"
"412","Zfp36"
"413","Fcgr4"
"414","Rtp4"
"415","Ifi27l2a"
"416","Casz1"
"417","Vcan"
"418","Parp14"
"419","Rab9"
"420","Sgcb"
"421","Tagln"
"422","Idnk"
"423","Mmp14"
"424","Ccdc173"
"425","Clec9a"
"426","Pstpip2"
"427","Ccdc50"
"428","Cybc1"
"429","Birc2"
"430","Plekha4"
"431","Tnfrsf8"
"432","Mycl"
"433","Map3k8"
"434","H2bc4"
"435","Trim12c"
"436","Phf11a"
"437","Sco1"
"438","Acbd3"
"439","Ifi203"
"440","Ms4a6b"
"441","Flnb"
"442","Lilra6"
"443","Vps54"
"444","Cask"
"445","Myd88"
"446","Adgb"
"447","Ogfr"
"448","AB124611"
"449","Tmem178"
"450","Tlr6"
"451","Lims2"
"452","Nr1h3"
"453","Ahr"
"454","Mcoln2"
"455","Rasgef1b"
"456","Srgn"
"457","Il1rn"
"458","Hook3"
"459","Sgk1"
"460","Slfn8"
"461","Slc15a4"
"462","Ppp6r1"
"463","Tlr7"
"464","Ifi44"
"465","Rsad2"
"466","4933430I17Rik"
"467","Fap"
"468","F7"
"469","Dll1"
"470","Kdm4a"
"471","Nfkb1"
"472","Anxa6"
"473","Rapgef2"
"474","Ccnj"
"475","Gla"
"476","Ext1"
"477","Kpna3"
"478","Scarf1"
"479","Atp6v1d"
"480","Gpr18"
"481","Fmnl2"
"482","Il2rg"
"483","BC023105"
"484","Mtmr7"
"485","Ddx4"
"486","Rnf135"
"487","Chordc1"
"488","Ifit1bl2"
"489","Lgals9"
"490","Ifi211"
"491","Eif2ak2"
"492","Ifi209"
"493","Cnn3"
"494","2810002D19Rik"
"495","Hook2"
"496","Tmem243"
"497","Gtpbp2"
"498","Gm10634"
"499","Slfn4"
"500","E230013L22Rik"
"501","Pmp22"
"502","Glipr1"
"503","Snw1"
"504","Apba1"
"505","Cd200r4"
"506","Gm10509"
"507","Vrk2"
"508","Gm20559"
"509","Cyria"
"510","Atf4"
"511","Lmbr1l"
"512","Clec1b"
"513","Cacnb1"
"514","Gm21188"
"515","Psmb9"
"516","Ccl12"
"517","Tor1aip2"
"518","Acp2"
"519","4930455G09Rik"
"520","Rnf31"
