"","x"
"315","Ccdc146"
"316","Gm4583"
"317","Zyx"
"318","Usb1"
"319","Cfap45"
"320","Nod2"
"321","Usp6nl"
"322","Fndc3a"
"323","Lgals3bp"
"324","Lima1"
"325","St3gal1"
"326","Mcoln2"
"327","Nr1d1"
"328","Oas1c"
"329","Tm9sf4"
"330","Prkab2"
"331","Rffl"
"332","Tnip1"
"333","Camk2a"
"334","Eng"
"335","Oas1a"
"336","P2ry2"
"337","Il2rg"
"338","Zmynd15"
"339","Ankrd28"
"340","Kcnq1ot1"
"341","Trim36"
"342","Psd"
"343","Clec4e"
"344","Rel"
"345","Slc29a3"
"346","Prdm1"
"347","Atp2b4"
"348","Uty"
"349","Hsd17b7"
"350","Ndrg1"
"351","Ly6e"
"352","Slfn3"
"353","Mmp25"
"354","Itga4"
"355","Pip4p2"
"356","Gm20056"
"357","F730043M19Rik"
"358","Tor3a"
"359","Il20rb"
"360","Rapgef2"
"361","Setdb2"
"362","Uba6"
"363","Lyn"
"364","Gpr137b-ps"
"365","Zfp971"
"366","Ggta1"
