"","x"
"318","Sos1"
"319","Ccl22"
"320","Hdc"
"321","Gm8369"
"322","Isg15"
"323","Gm20235"
"324","N4bp1"
"325","Zfp800"
"326","Sp140"
"327","Slfn5"
"328","B2m"
"329","Ppp1cb"
"330","Kcnh4"
"331","P2ry13"
"332","4930453N24Rik"
"333","Fndc3a"
"334","Selenot"
"335","Dgka"
"336","Sbds"
"337","Ly86"
"338","Armcx6"
"339","Phlpp1"
"340","Nat2"
"341","Tnni3"
"342","Ms4a6d"
"343","Tnfaip3"
"344","Plat"
"345","Mx2"
"346","Ifi209"
"347","Dhx40"
"348","Mylip"
"349","Prpf38a"
"350","Ube2z"
"351","Alcam"
"352","Cd247"
"353","B230325K18Rik"
"354","Cnn2"
"355","Timp1"
"356","Resf1"
"357","Nfkbib"
"358","Tmem86b"
"359","Plekha4"
"360","Stx11"
"361","A130040M12Rik"
"362","Tagap"
"363","Phf11d"
"364","Casp3"
"365","Kat2b"
"366","Ttc19"
"367","Adamts6"
"368","Rilpl1"
"369","Rfx5"
"370","Gm19551"
"371","Katna1"
"372","Rock1"
"373","Cpne3"
"374","Tlr3"
"375","Mosmo"
"376","Ifit1bl2"
"377","Lrp4"
"378","Gas7"
"379","Cd2ap"
"380","Ptges"
"381","Lrrc4"
"382","Sirt6"
"383","Xcr1"
"384","Sass6"
"385","Rin2"
"386","Xiap"
"387","Stxbp3"
"388","Fcrl5"
"389","Gm10388"
"390","Slamf6"
"391","Fam102b"
"392","Etv3"
"393","Zxda"
"394","Casp1"
"395","Hmgn3"
"396","Skil"
"397","Aim2"
"398","Tnfrsf14"
"399","Snx27"
"400","Selenow"
"401","St3gal1"
"402","Fam3b"
"403","Ppp1r15b"
"404","Phf11b"
"405","Bahcc1"
"406","Kpna4"
"407","Ifi47"
"408","Rab9"
"409","Plpp1"
"410","Agfg1"
"411","Adora2b"
"412","Clec4a3"
"413","Napepld"
"414","Gm20367"
"415","Marcks"
"416","Pnp2"
"417","Ppp6r1"
"418","Gm16675"
"419","Gm12216"
"420","Rpgr"
"421","Lox"
"422","Pbxip1"
"423","Gm15266"
"424","Themis2"
"425","Ranbp2"
"426","Tiparp"
"427","Hbegf"
"428","Trim21"
"429","Abcc4"
"430","AI837181"
"431","Casp12"
"432","Wdr59"
"433","Klrk1"
"434","Isg20"
"435","Rictor"
"436","Tbc1d2b"
"437","Gm19279"
"438","Gm8995"
"439","Cd69"
"440","Cmpk2"
"441","Cemip2"
"442","Cebpb"
"443","Fmnl2"
"444","Gls"
"445","Slc2a6"
"446","Klhl28"
"447","Oasl1"
"448","Milr1"
"449","Rnf149"
"450","Igbp1"
"451","Ms4a6b"
"452","Foxp1"
"453","Sema4a"
"454","Helz2"
"455","Apobec3"
"456","Trim30a"
"457","Dcp1a"
"458","Dip2b"
"459","Rnf135"
"460","Psme1"
"461","Bcl9"
"462","Ms4a4b"
"463","Rgl1"
"464","Mthfr"
"465","Inpp5b"
"466","2310001H17Rik"
"467","Zfp821"
"468","Samhd1"
"469","Ube2d1"
"470","Ccl8"
"471","H2-Q6"
"472","Phf11c"
"473","Pcgf5"
"474","Kpna3"
"475","Acbd3"
"476","Klf3"
"477","Ccdc146"
"478","Whamm"
"479","Il19"
"480","Klhl24"
"481","Fcgr4"
"482","Lrrc25"
"483","Atp11b"
"484","Osbpl3"
"485","Aftph"
"486","BC147527"
"487","Celf3"
"488","Sav1"
"489","Bcl3"
"490","C1rl"
"491","Rpgrip1l"
"492","Akt3"
"493","Apol9b"
"494","Akap6"
"495","Atp10a"
"496","Sell"
"497","Ptch1"
"498","Clp1"
"499","E230013L22Rik"
"500","Irgm1"
"501","Bmp2"
"502","Herc6"
"503","Tlr7"
"504","Akap7"
"505","Mcoln2"
"506","Apool"
"507","Asah2"
"508","Dennd4a"
"509","Rap2c"
"510","Il18bp"
"511","Hbp1"
"512","Tank"
